Symbol,log2FC,p_value,FDR,consistency,significant
LOC651638,-0.0028795180722891393,0.9435599841910903,0.9621679492472879,0.4939759036144578,False
LOC651643,0.2913855421686747,1.5446110430840234e-05,4.453689780806705e-05,0.7590361445783133,False
LOC651647,0.06702409638554219,0.11450811521771297,0.18110360678534104,0.5421686746987951,False
LOC651648,0.03497590361445777,0.46835885347640577,0.5792440074107809,0.5421686746987951,False
LOC651655,0.02968674698795179,0.43164412738059815,0.5439383099149205,0.5301204819277109,False
LOC651659,0.05563855421686746,0.29845196606095914,0.4048964385980589,0.5421686746987951,False
LOC651665,0.05826506024096386,0.14060430196556187,0.21658936978527968,0.5060240963855421,False
LOC651668,-0.044554216867469874,0.1640830186428518,0.24743758116622108,0.5903614457831325,False
LOC651675,0.01499999999999999,0.6973785543209262,0.7814866717436508,0.4939759036144578,False
LOC651680,-0.01634939759036144,0.8030809940626201,0.8622960574411452,0.4939759036144578,False
LOC651682,0.01104819277108434,0.796090484528468,0.8571416085324287,0.5060240963855421,False
LOC651685,0.0234698795180723,0.736884302717728,0.8121273951019798,0.5421686746987951,False
LOC651686,-0.005662650602409625,0.8942439729475395,0.9286804501030854,0.4819277108433735,False
LOC651695,0.10491566265060244,0.08917291550707879,0.14539248673332592,0.5421686746987951,False
LOC651701,0.0757951807228915,0.02020223697454019,0.03848621451492455,0.6626506024096386,False
LOC651704,0.028722891566265032,0.5513094735214678,0.6578542965012271,0.5662650602409639,False
LOC651711,0.7020361445783132,2.6417379509201563e-09,1.1295094701077107e-08,0.7831325301204819,False
LOC651713,0.02565060240963856,0.530317423460558,0.6382776767202817,0.5421686746987951,False
LOC651714,0.1626385542168675,0.007143257238327174,0.014696681289368647,0.5542168674698795,False
LOC651721,0.0383012048192771,0.2986989949739895,0.405166751913532,0.5662650602409639,False
LOC651726,-0.4123012048192772,4.4432118590483866e-11,2.295599303293886e-10,0.7951807228915663,False
LOC651728,-0.05148192771084336,0.32327315040473076,0.4313473694690208,0.5542168674698795,False
LOC651729,0.09272289156626504,0.034233056730026225,0.062095469747726714,0.6385542168674698,False
LOC651730,0.004927710843373481,0.8864493638537567,0.9230597116957787,0.4578313253012048,False
LOC651732,0.03921686746987952,0.32310386479120284,0.43121195678775576,0.5180722891566265,False
LOC651738,-0.1006867469879518,0.2510497569866482,0.35194279041937127,0.6024096385542169,False
